server_id,server_name,location_id,hire_date,tenure_band
5228,Ana D.,16,2023-09-11,1_3yr
5229,Elle D.,16,2025-10-23,3_12mo
5230,Omar C.,16,2026-05-23,under_3mo
5231,Hugo U.,16,2020-07-05,over_3yr
5232,Elle W.,16,2026-02-22,3_12mo
5233,Dev J.,16,2023-07-18,over_3yr
5234,Hugo N.,16,2024-04-02,1_3yr
5235,Rosa A.,16,2026-06-14,under_3mo
5236,Tess P.,16,2025-08-14,3_12mo
5237,Pia U.,16,2017-12-25,over_3yr
5238,Kai I.,16,2024-05-07,1_3yr
5239,Lena B.,16,2026-05-06,under_3mo
5240,Hugo D.,16,2024-12-08,1_3yr
5241,Hugo K.,17,2025-09-14,3_12mo
5242,Ana G.,17,2025-09-17,3_12mo
5243,Tess O.,17,2023-11-05,1_3yr
5244,Iris U.,17,2024-02-14,1_3yr
5245,Nora K.,17,2026-06-27,under_3mo
5246,Rosa A.,17,2025-12-04,3_12mo
5247,Milo W.,17,2018-09-28,over_3yr
5248,Tess C.,17,2024-12-06,1_3yr
5249,Sam H.,17,2026-06-26,under_3mo
5250,Lena I.,17,2019-06-19,over_3yr
5251,Gia P.,17,2025-05-30,1_3yr
5252,Jonah Y.,17,2019-04-03,over_3yr
5253,Pia Q.,17,2025-07-01,1_3yr
5254,Dev U.,17,2026-06-25,under_3mo
5255,Dev P.,17,2025-11-28,3_12mo
5256,Omar F.,18,2024-04-07,1_3yr
5257,Nora A.,18,2025-07-07,1_3yr
5258,Tess I.,18,2026-05-08,under_3mo
5259,Sam R.,18,2017-10-06,over_3yr
5260,Gia Y.,18,2026-01-09,3_12mo
5261,Dev R.,18,2026-06-18,under_3mo
5262,Nora D.,18,2024-05-10,1_3yr
5263,Rosa A.,18,2025-12-15,3_12mo
5264,Elle D.,18,2025-12-12,3_12mo
5265,Omar O.,18,2024-03-10,1_3yr
5266,Rosa Y.,18,2026-05-11,under_3mo
5267,Sam Z.,18,2025-04-14,1_3yr
5268,Ben Y.,18,2022-08-13,over_3yr
5269,Sam Q.,18,2019-02-11,over_3yr
5270,Hugo Y.,18,2026-02-24,3_12mo
5271,Dev L.,19,2017-08-30,over_3yr
5272,Cleo I.,19,2018-07-25,over_3yr
5273,Cleo R.,19,2026-02-10,3_12mo
5274,Rosa N.,19,2026-03-01,3_12mo
5275,Lena N.,19,2024-10-19,1_3yr
5276,Dev V.,19,2019-02-27,over_3yr
5277,Lena T.,19,2025-10-18,3_12mo
5278,Ana Q.,19,2025-02-24,1_3yr
5279,Nora A.,19,2026-05-27,under_3mo
5280,Quinn E.,19,2026-05-15,under_3mo
5281,Elle H.,19,2023-08-19,1_3yr
5282,Finn C.,19,2023-08-27,1_3yr
5283,Hugo S.,19,2025-05-13,1_3yr
5284,Ana X.,19,2025-11-23,3_12mo
5285,Ben J.,19,2026-04-20,under_3mo
5286,Tess Y.,20,2026-04-30,under_3mo
5287,Hugo D.,20,2026-06-17,under_3mo
5288,Kai M.,20,2026-03-30,3_12mo
5289,Rosa G.,20,2020-10-09,over_3yr
5290,Gia U.,20,2026-01-12,3_12mo
5291,Elle T.,20,2026-07-17,under_3mo
5292,Jonah S.,20,2025-09-12,3_12mo
5293,Jonah B.,20,2021-08-28,over_3yr
5294,Finn C.,20,2025-08-08,3_12mo
5295,Quinn I.,20,2022-12-30,over_3yr
5296,Iris S.,20,2024-02-04,1_3yr
5297,Dev L.,20,2024-09-28,1_3yr
5298,Kai L.,20,2024-11-29,1_3yr
5299,Sam I.,20,2025-04-25,1_3yr
5300,Ana A.,20,2024-12-05,1_3yr
5301,Dev L.,21,2023-03-13,over_3yr
5302,Omar R.,21,2023-11-17,1_3yr
5303,Quinn M.,21,2026-04-27,under_3mo
5304,Nora B.,21,2025-12-28,3_12mo
5305,Rosa Z.,21,2025-12-11,3_12mo
5306,Milo S.,21,2025-08-15,3_12mo
5307,Finn A.,21,2025-01-04,1_3yr
5308,Dev W.,21,2025-04-27,1_3yr
5309,Omar I.,21,2026-03-07,3_12mo
5310,Rosa Z.,21,2025-03-06,1_3yr
5311,Milo Z.,21,2026-07-17,under_3mo
5312,Kai B.,21,2019-01-17,over_3yr
5313,Omar H.,21,2022-04-02,over_3yr
5314,Omar V.,21,2025-01-20,1_3yr
5315,Milo Y.,21,2026-06-01,under_3mo
5316,Jonah G.,22,2026-05-18,under_3mo
5317,Nora W.,22,2025-06-25,1_3yr
5318,Pia R.,22,2017-10-18,over_3yr
5319,Iris D.,22,2025-09-18,3_12mo
5320,Sam Q.,22,2024-09-26,1_3yr
5321,Kai U.,22,2026-05-26,under_3mo
5322,Nora W.,22,2024-04-24,1_3yr
5323,Pia Z.,22,2026-06-05,under_3mo
5324,Quinn P.,22,2024-11-25,1_3yr
5325,Tess E.,22,2018-06-11,over_3yr
5326,Kai Z.,22,2025-01-25,1_3yr
5327,Quinn Q.,22,2026-03-01,3_12mo
5328,Quinn T.,22,2026-01-14,3_12mo
5329,Omar F.,22,2025-10-22,3_12mo
5330,Nora E.,22,2017-07-04,over_3yr
5331,Sam W.,23,2018-11-26,over_3yr
5332,Gia J.,23,2022-09-25,over_3yr
5333,Iris D.,23,2024-09-03,1_3yr
5334,Iris T.,23,2024-11-13,1_3yr
5335,Sam T.,23,2026-06-02,under_3mo
5336,Jonah L.,23,2025-10-03,3_12mo
5337,Finn A.,23,2026-03-07,3_12mo
5338,Hugo S.,23,2019-03-14,over_3yr
5339,Rosa R.,23,2024-01-31,1_3yr
5340,Omar B.,23,2023-09-05,1_3yr
5341,Hugo F.,23,2026-04-02,3_12mo
5342,Jonah E.,23,2026-05-14,under_3mo
5343,Hugo N.,23,2026-05-04,under_3mo
5344,Lena S.,23,2024-03-19,1_3yr
5345,Omar T.,23,2025-11-23,3_12mo
5346,Jonah S.,24,2020-09-07,over_3yr
5347,Rosa K.,24,2024-10-24,1_3yr
5348,Iris J.,24,2025-11-26,3_12mo
5349,Kai Q.,24,2026-04-21,under_3mo
5350,Ben C.,24,2025-11-18,3_12mo
5351,Ana B.,24,2021-06-09,over_3yr
5352,Omar F.,24,2026-06-06,under_3mo
5353,Milo V.,24,2024-10-14,1_3yr
5354,Kai D.,24,2021-10-25,over_3yr
5355,Ben D.,24,2025-06-13,1_3yr
5356,Hugo J.,24,2025-11-24,3_12mo
5357,Pia D.,24,2024-12-17,1_3yr
5358,Milo D.,24,2026-02-15,3_12mo
5359,Pia B.,24,2026-05-08,under_3mo
5360,Iris Q.,24,2023-07-21,1_3yr
