id,first_name,last_name,email,country,signup_date,acquisition_channel,is_active
103,Elizabeth,White,elizabeth.white103@example.com,US,2022-09-18,social,True
104,Edward,Garcia,edward.garcia104@example.com,DE,2022-09-24,email,True
105,Jessica,Nelson,jessica.nelson105@example.com,UK,2022-05-04,social,True
106,Samantha,Carter,samantha.carter106@example.com,FR,2022-11-12,referral,False
107,James,Garcia,james.garcia107@example.com,BR,2022-04-26,email,True
108,Jerry,Lewis,jerry.lewis108@example.com,BR,2023-02-02,social,False
109,Nancy,Rodriguez,nancy.rodriguez109@example.com,CA,2022-01-01,referral,True
110,James,Clark,james.clark110@example.com,US,2024-04-02,organic,True
111,Paul,Clark,paul.clark111@example.com,US,2024-03-07,referral,True
112,David,Johnson,david.johnson112@example.com,US,2024-03-21,email,True
113,Larry,Brown,larry.brown113@example.com,FR,2023-11-22,email,True
114,Donna,Martin,donna.martin114@example.com,DE,2023-07-15,direct,True
115,Robert,Nelson,robert.nelson115@example.com,US,2022-11-12,social,False
116,Betty,Ramirez,betty.ramirez116@example.com,US,2023-05-25,organic,True
117,Karen,Hernandez,karen.hernandez117@example.com,FR,2022-02-18,email,True
118,David,Lewis,david.lewis118@example.com,DE,2022-07-14,referral,True
119,Sharon,Rivera,sharon.rivera119@example.com,UK,2023-01-09,organic,False
120,Margaret,Garcia,margaret.garcia120@example.com,UK,2022-02-13,email,False
121,Rachel,Johnson,rachel.johnson121@example.com,US,2023-11-23,organic,True
122,Samuel,King,samuel.king122@example.com,US,2024-01-02,organic,True
123,Janet,Walker,janet.walker123@example.com,DE,2023-01-29,social,True
124,Samuel,Nelson,samuel.nelson124@example.com,CA,2023-03-15,direct,True
125,Barbara,Williams,barbara.williams125@example.com,US,2022-06-05,direct,True
126,Sarah,Rivera,sarah.rivera126@example.com,FR,2023-08-21,social,True
127,Rebecca,Rivera,rebecca.rivera127@example.com,US,2022-10-18,referral,True
128,Jonathan,King,jonathan.king128@example.com,BR,2023-11-08,email,True
129,James,Nguyen,james.nguyen129@example.com,DE,2023-12-28,paid_search,True
130,Scott,Nelson,scott.nelson130@example.com,DE,2022-04-14,referral,False
131,Ashley,Green,ashley.green131@example.com,JP,2024-04-27,email,True
132,Melissa,Jackson,melissa.jackson132@example.com,JP,2024-02-10,referral,True
133,Jack,Jackson,jack.jackson133@example.com,BR,2023-07-06,email,False
134,Katherine,Perez,katherine.perez134@example.com,US,2022-06-23,organic,True
135,Justin,Miller,justin.miller135@example.com,UK,2024-04-01,social,True
136,Gregory,Lopez,gregory.lopez136@example.com,MX,2022-04-18,direct,True
137,Sandra,Torres,sandra.torres137@example.com,CA,2022-05-20,email,True
138,Richard,Carter,richard.carter138@example.com,MX,2023-05-15,email,True
139,Benjamin,King,benjamin.king139@example.com,UK,2022-12-10,social,False
140,Benjamin,Clark,benjamin.clark140@example.com,JP,2024-02-21,direct,False
141,Carol,Baker,carol.baker141@example.com,UK,2022-06-30,paid_search,True
142,Carolyn,Brown,carolyn.brown142@example.com,AU,2023-06-13,direct,True
143,Melissa,Williams,melissa.williams143@example.com,US,2022-05-31,direct,True
144,Debra,Sanchez,debra.sanchez144@example.com,AU,2024-04-08,paid_search,True
145,Ashley,Allen,ashley.allen145@example.com,FR,2022-07-07,referral,True
146,James,Walker,james.walker146@example.com,US,2022-10-11,social,False
147,Nicholas,Green,nicholas.green147@example.com,UK,2022-08-19,organic,True
148,Jacob,Sanchez,jacob.sanchez148@example.com,CA,2022-02-18,direct,True
149,Rebecca,Hall,rebecca.hall149@example.com,US,2022-12-02,referral,True
150,Joseph,Williams,joseph.williams150@example.com,AU,2022-12-28,social,True
151,Donald,Hall,donald.hall151@example.com,UK,2023-12-13,direct,False
152,Jacob,Campbell,jacob.campbell152@example.com,JP,2024-04-21,email,True
153,Christine,Anderson,christine.anderson153@example.com,US,2022-07-09,paid_search,True
154,Betty,Baker,betty.baker154@example.com,BR,2023-04-26,referral,True
155,Mary,Thompson,mary.thompson155@example.com,FR,2022-05-09,social,False
156,Amanda,Wright,amanda.wright156@example.com,US,2023-11-22,organic,True
157,Michael,Davis,michael.davis157@example.com,UK,2022-05-12,email,True
158,Gary,Allen,gary.allen158@example.com,CA,2023-02-14,direct,True
159,Matthew,Lopez,matthew.lopez159@example.com,CA,2022-08-23,social,True
160,Jack,Young,jack.young160@example.com,US,2023-02-10,organic,True
161,Timothy,Miller,timothy.miller161@example.com,US,2022-09-21,organic,True
162,Melissa,Lopez,melissa.lopez162@example.com,US,2022-03-26,organic,True
163,Samuel,Adams,samuel.adams163@example.com,MX,2023-04-05,direct,True
164,Laura,Rivera,laura.rivera164@example.com,US,2023-03-01,organic,True
165,Joshua,Allen,joshua.allen165@example.com,CA,2023-01-21,direct,True
166,Brian,Jones,brian.jones166@example.com,CA,2023-09-13,paid_search,True
167,Jeffrey,Sanchez,jeffrey.sanchez167@example.com,UK,2022-11-26,organic,True
168,Andrew,Lee,andrew.lee168@example.com,AU,2022-10-21,paid_search,True
169,Jacob,White,jacob.white169@example.com,US,2023-07-02,organic,True
170,Karen,Wilson,karen.wilson170@example.com,CA,2022-09-04,direct,True
171,Mark,Martin,mark.martin171@example.com,MX,2024-03-06,paid_search,True
172,Kathleen,Perez,kathleen.perez172@example.com,UK,2023-10-04,referral,True
173,Paul,Ramirez,paul.ramirez173@example.com,AU,2022-10-28,organic,True
174,Cynthia,Miller,cynthia.miller174@example.com,MX,2024-06-11,email,True
175,Timothy,Torres,timothy.torres175@example.com,DE,2023-09-20,email,True
176,Heather,Brown,heather.brown176@example.com,US,2023-12-14,referral,True
177,Jeffrey,Baker,jeffrey.baker177@example.com,DE,2022-10-07,email,True
178,Emily,Lopez,emily.lopez178@example.com,MX,2023-06-17,paid_search,False
179,Rebecca,Mitchell,rebecca.mitchell179@example.com,US,2023-08-21,referral,True
180,Melissa,Robinson,melissa.robinson180@example.com,AU,2023-10-10,paid_search,False
181,Brian,Hall,brian.hall181@example.com,DE,2022-05-12,paid_search,False
182,Joshua,Clark,joshua.clark182@example.com,US,2022-06-14,referral,True
183,Sandra,Flores,sandra.flores183@example.com,BR,2022-07-20,social,True
184,Scott,Brown,scott.brown184@example.com,JP,2024-06-07,social,False
185,Jerry,Gonzalez,jerry.gonzalez185@example.com,DE,2023-04-04,organic,True
186,Jerry,Perez,jerry.perez186@example.com,DE,2023-11-13,paid_search,True
187,Richard,Thomas,richard.thomas187@example.com,US,2022-12-22,paid_search,True
188,Cynthia,Ramirez,cynthia.ramirez188@example.com,US,2022-04-07,email,True
189,Nicole,Nelson,nicole.nelson189@example.com,US,2023-11-02,organic,True
190,Karen,Thomas,karen.thomas190@example.com,FR,2022-11-11,paid_search,True
191,Thomas,Nguyen,thomas.nguyen191@example.com,CA,2024-01-26,referral,False
192,Brandon,Young,brandon.young192@example.com,US,2023-03-20,referral,True
193,Charles,Torres,charles.torres193@example.com,US,2022-07-17,paid_search,True
194,Frank,Lewis,frank.lewis194@example.com,UK,2022-05-30,direct,True
195,Betty,Hernandez,betty.hernandez195@example.com,UK,2022-06-22,paid_search,True
196,Catherine,Davis,catherine.davis196@example.com,US,2022-11-06,direct,True
197,Robert,Young,robert.young197@example.com,AU,2024-02-24,direct,False
198,Stephanie,Anderson,stephanie.anderson198@example.com,UK,2023-10-16,paid_search,True
199,Sharon,Rivera,sharon.rivera199@example.com,BR,2022-03-21,social,True
200,Joshua,Moore,joshua.moore200@example.com,US,2022-06-05,email,True
201,Matthew,Smith,matthew.smith201@example.com,FR,2023-12-30,organic,True
202,Joshua,Young,joshua.young202@example.com,US,2022-07-09,referral,True
203,Elizabeth,Ramirez,elizabeth.ramirez203@example.com,UK,2022-11-14,organic,True
204,Samantha,Johnson,samantha.johnson204@example.com,US,2022-09-29,social,True
205,Catherine,Campbell,catherine.campbell205@example.com,UK,2024-05-21,social,True
206,Amy,Walker,amy.walker206@example.com,CA,2023-01-17,organic,True
207,Amanda,Hall,amanda.hall207@example.com,US,2022-10-01,email,True
208,Susan,Smith,susan.smith208@example.com,FR,2024-01-01,social,True
209,Laura,Lewis,laura.lewis209@example.com,CA,2022-06-04,paid_search,True
210,Katherine,Baker,katherine.baker210@example.com,CA,2022-07-31,direct,True
211,Christopher,Roberts,christopher.roberts211@example.com,FR,2023-07-16,paid_search,True
212,Jason,White,jason.white212@example.com,CA,2022-06-14,social,False
213,George,Roberts,george.roberts213@example.com,CA,2023-07-02,direct,True
214,Katherine,Smith,katherine.smith214@example.com,AU,2022-08-25,referral,True
215,Scott,Anderson,scott.anderson215@example.com,US,2023-09-06,social,True
216,Carolyn,Flores,carolyn.flores216@example.com,CA,2023-12-30,organic,True
217,Carol,Robinson,carol.robinson217@example.com,FR,2022-02-25,paid_search,True
218,Sarah,Moore,sarah.moore218@example.com,US,2023-05-19,paid_search,True
219,Katherine,Hernandez,katherine.hernandez219@example.com,US,2023-06-28,paid_search,True
220,Kimberly,Sanchez,kimberly.sanchez220@example.com,UK,2023-05-01,organic,True
221,Rebecca,Taylor,rebecca.taylor221@example.com,JP,2023-12-12,direct,True
222,Sarah,Jones,sarah.jones222@example.com,US,2024-01-29,referral,False
223,Joshua,Garcia,joshua.garcia223@example.com,MX,2023-01-11,paid_search,False
224,Kimberly,Roberts,kimberly.roberts224@example.com,UK,2023-07-11,direct,True
225,Jennifer,Brown,jennifer.brown225@example.com,US,2022-06-01,referral,True
226,Sandra,Miller,sandra.miller226@example.com,UK,2023-05-22,organic,False
227,Helen,Flores,helen.flores227@example.com,MX,2024-03-15,social,False
228,Thomas,Gonzalez,thomas.gonzalez228@example.com,US,2022-01-21,direct,False
229,Elizabeth,Allen,elizabeth.allen229@example.com,UK,2023-06-01,referral,True
230,Amy,Jackson,amy.jackson230@example.com,FR,2022-07-16,social,True
231,Benjamin,Adams,benjamin.adams231@example.com,US,2023-06-13,email,True
232,Matthew,Williams,matthew.williams232@example.com,FR,2023-11-25,email,False
233,Benjamin,Martin,benjamin.martin233@example.com,US,2024-05-31,referral,True
234,Jonathan,Sanchez,jonathan.sanchez234@example.com,CA,2022-05-10,paid_search,True
235,Melissa,Green,melissa.green235@example.com,US,2023-01-09,organic,True
236,Linda,Rivera,linda.rivera236@example.com,JP,2022-01-22,social,True
237,Larry,Williams,larry.williams237@example.com,FR,2023-10-01,referral,False
238,Heather,Mitchell,heather.mitchell238@example.com,CA,2023-11-03,organic,True
239,Betty,Roberts,betty.roberts239@example.com,BR,2024-04-17,social,True
240,Ashley,Lewis,ashley.lewis240@example.com,DE,2023-10-03,social,True
241,Kevin,Jackson,kevin.jackson241@example.com,MX,2023-05-08,email,True
242,Frank,Taylor,frank.taylor242@example.com,MX,2023-10-04,referral,True
243,Justin,White,justin.white243@example.com,US,2023-04-14,referral,True
244,Samuel,Rodriguez,samuel.rodriguez244@example.com,US,2023-10-18,referral,True
245,Christine,White,christine.white245@example.com,CA,2023-11-28,referral,True
246,Anthony,Perez,anthony.perez246@example.com,US,2022-08-03,direct,True
247,Brandon,Rodriguez,brandon.rodriguez247@example.com,US,2022-09-11,referral,True
248,Justin,Allen,justin.allen248@example.com,CA,2023-01-23,direct,True
249,James,Jones,james.jones249@example.com,AU,2023-10-11,email,False
250,Nicole,Anderson,nicole.anderson250@example.com,MX,2023-11-16,paid_search,True
